<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.FIXP:TQBR,D,20210823,000000,678.5000000,686.2000000,655.0000000,662.0000000,120589
MOEX.FIXP:TQBR,D,20210824,000000,664.9000000,672.0000000,645.7000000,649.0000000,145847
MOEX.FIXP:TQBR,D,20210825,000000,650.6000000,679.4000000,645.7000000,664.8000000,69460
MOEX.FIXP:TQBR,D,20210826,000000,664.8000000,684.0000000,656.4000000,676.1000000,71129
MOEX.FIXP:TQBR,D,20210827,000000,685.0000000,690.0000000,679.5000000,685.9000000,72483
MOEX.FIXP:TQBR,D,20210830,000000,690.0000000,700.0000000,675.3000000,680.0000000,86710
MOEX.FIXP:TQBR,D,20210831,000000,683.5000000,690.5000000,670.0000000,674.1000000,56876
MOEX.FIXP:TQBR,D,20210901,000000,682.0000000,686.9000000,660.6000000,668.2000000,64737
MOEX.FIXP:TQBR,D,20210902,000000,670.0000000,678.4000000,660.0000000,667.1000000,82404
MOEX.FIXP:TQBR,D,20210903,000000,668.0000000,671.5000000,640.1000000,657.6000000,132399
MOEX.FIXP:TQBR,D,20210906,000000,658.0000000,669.9000000,645.0000000,648.1000000,69969
MOEX.FIXP:TQBR,D,20210907,000000,650.0000000,650.0000000,627.1000000,637.3000000,106563
MOEX.FIXP:TQBR,D,20210908,000000,635.2000000,653.2000000,626.3000000,652.9000000,61507
MOEX.FIXP:TQBR,D,20210909,000000,651.9000000,651.9000000,628.4000000,628.6000000,65164
MOEX.FIXP:TQBR,D,20210910,000000,633.0000000,645.0000000,628.5000000,642.4000000,90262
MOEX.FIXP:TQBR,D,20210913,000000,649.9000000,649.9000000,595.2000000,602.8000000,363505
MOEX.FIXP:TQBR,D,20210914,000000,602.2000000,615.0000000,589.2000000,610.7000000,346869
MOEX.FIXP:TQBR,D,20210915,000000,610.7000000,616.0000000,596.0000000,604.3000000,215100
MOEX.FIXP:TQBR,D,20210916,000000,607.0000000,618.7000000,598.2000000,612.1000000,290636
MOEX.FIXP:TQBR,D,20210917,000000,612.1000000,628.0000000,608.1000000,622.3000000,248953
MOEX.FIXP:TQBR,D,20210920,000000,624.2000000,629.3000000,610.9000000,615.0000000,190643
MOEX.FIXP:TQBR,D,20210921,000000,623.9000000,623.9000000,605.0000000,609.3000000,151444
MOEX.FIXP:TQBR,D,20210922,000000,614.6000000,618.0000000,599.0000000,610.0000000,127338
MOEX.FIXP:TQBR,D,20210923,000000,602.0000000,638.6000000,600.6000000,628.9000000,212148
MOEX.FIXP:TQBR,D,20210924,000000,631.0000000,660.0000000,625.0000000,643.1000000,272339
MOEX.FIXP:TQBR,D,20210927,000000,633.7000000,649.4000000,631.3000000,638.5000000,136451
MOEX.FIXP:TQBR,D,20210928,000000,640.3000000,676.2000000,639.3000000,668.6000000,319088
MOEX.FIXP:TQBR,D,20210929,000000,668.5000000,669.0000000,652.8000000,664.0000000,189741
MOEX.FIXP:TQBR,D,20210930,000000,662.6000000,666.5000000,644.0000000,647.4000000,191841
MOEX.FIXP:TQBR,D,20211001,000000,648.4000000,672.0000000,648.4000000,655.0000000,169832
MOEX.FIXP:TQBR,D,20211004,000000,659.9000000,661.7000000,633.2000000,638.5000000,174193
MOEX.FIXP:TQBR,D,20211005,000000,645.0000000,654.3000000,636.0000000,647.9000000,121313
MOEX.FIXP:TQBR,D,20211006,000000,651.9000000,664.0000000,638.8000000,652.1000000,204980
MOEX.FIXP:TQBR,D,20211007,000000,659.9000000,671.8000000,652.5000000,655.0000000,200687
MOEX.FIXP:TQBR,D,20211008,000000,664.3000000,669.0000000,656.9000000,665.2000000,141088
MOEX.FIXP:TQBR,D,20211011,000000,665.5000000,669.3000000,649.0000000,658.1000000,357797
MOEX.FIXP:TQBR,D,20211012,000000,661.4000000,661.6000000,648.2000000,649.0000000,96713
MOEX.FIXP:TQBR,D,20211013,000000,648.1000000,655.4000000,631.7000000,644.4000000,149447
MOEX.FIXP:TQBR,D,20211014,000000,646.4000000,647.5000000,638.0000000,640.3000000,66499
MOEX.FIXP:TQBR,D,20211015,000000,646.4000000,648.0000000,635.3000000,645.0000000,99198
MOEX.FIXP:TQBR,D,20211018,000000,645.0000000,646.5000000,626.2000000,632.1000000,179531
MOEX.FIXP:TQBR,D,20211019,000000,632.1000000,634.1000000,621.6000000,630.4000000,147363
MOEX.FIXP:TQBR,D,20211020,000000,630.4000000,631.3000000,611.1000000,627.0000000,202314
MOEX.FIXP:TQBR,D,20211021,000000,622.0000000,633.0000000,610.0000000,629.6000000,143959
MOEX.FIXP:TQBR,D,20211022,000000,631.1000000,631.2000000,610.7000000,611.2000000,210277
MOEX.FIXP:TQBR,D,20211025,000000,610.0000000,622.0000000,603.2000000,619.1000000,132404
MOEX.FIXP:TQBR,D,20211026,000000,621.6000000,621.6000000,609.0000000,609.4000000,134591
MOEX.FIXP:TQBR,D,20211027,000000,616.1000000,620.0000000,609.5000000,615.0000000,155532
MOEX.FIXP:TQBR,D,20211028,000000,616.0000000,618.0000000,603.5000000,609.8000000,157834
MOEX.FIXP:TQBR,D,20211029,000000,611.2000000,625.0000000,605.9000000,620.8000000,184615
MOEX.FIXP:TQBR,D,20211101,000000,622.0000000,635.7000000,611.0000000,630.6000000,159851
MOEX.FIXP:TQBR,D,20211102,000000,631.0000000,635.9000000,608.4000000,616.4000000,289015
MOEX.FIXP:TQBR,D,20211103,000000,617.0000000,617.1000000,601.0000000,606.5000000,192821
MOEX.FIXP:TQBR,D,20211105,000000,606.5000000,607.2000000,590.2000000,597.3000000,275979
MOEX.FIXP:TQBR,D,20211108,000000,600.0000000,603.7000000,594.2000000,598.6000000,118387
MOEX.FIXP:TQBR,D,20211109,000000,598.6000000,603.9000000,594.0000000,600.1000000,183559
MOEX.FIXP:TQBR,D,20211110,000000,600.3000000,611.8000000,594.9000000,601.2000000,284877
MOEX.FIXP:TQBR,D,20211111,000000,601.1000000,624.0000000,595.2000000,619.5000000,277446
MOEX.FIXP:TQBR,D,20211112,000000,619.8000000,622.5000000,604.0000000,610.4000000,255813
MOEX.FIXP:TQBR,D,20211115,000000,610.0000000,612.8000000,597.0000000,601.6000000,251097
MOEX.FIXP:TQBR,D,20211116,000000,603.3000000,606.5000000,591.2000000,593.0000000,179807
MOEX.FIXP:TQBR,D,20211117,000000,596.9000000,600.5000000,581.5000000,586.2000000,266993
MOEX.FIXP:TQBR,D,20211118,000000,585.1000000,589.3000000,569.7000000,576.4000000,313663
MOEX.FIXP:TQBR,D,20211119,000000,579.8000000,586.0000000,577.6000000,582.8000000,156551
MOEX.FIXP:TQBR,D,20211122,000000,582.8000000,606.4000000,561.6000000,582.1000000,591411
MOEX.FIXP:TQBR,D,20211123,000000,582.1000000,595.0000000,555.0000000,564.4000000,494446
MOEX.FIXP:TQBR,D,20211124,000000,565.1000000,569.3000000,550.2000000,554.8000000,299601
MOEX.FIXP:TQBR,D,20211125,000000,554.8000000,582.7000000,554.0000000,571.0000000,296298
MOEX.FIXP:TQBR,D,20211126,000000,565.1000000,570.0000000,552.0000000,555.5000000,222492
MOEX.FIXP:TQBR,D,20211129,000000,568.5000000,571.9000000,548.4000000,569.0000000,192175
MOEX.FIXP:TQBR,D,20211130,000000,568.9000000,581.9000000,559.0000000,574.9000000,220566
MOEX.FIXP:TQBR,D,20211201,000000,575.2000000,591.0000000,574.0000000,585.9000000,165473
MOEX.FIXP:TQBR,D,20211202,000000,585.9000000,592.8000000,570.0000000,578.5000000,162302
MOEX.FIXP:TQBR,D,20211203,000000,578.5000000,586.9000000,570.0000000,579.9000000,200757
MOEX.FIXP:TQBR,D,20211206,000000,580.9000000,597.0000000,561.6000000,570.0000000,168537
MOEX.FIXP:TQBR,D,20211207,000000,571.9000000,598.0000000,564.6000000,584.6000000,320308
MOEX.FIXP:TQBR,D,20211208,000000,590.0000000,603.2000000,584.6000000,601.2000000,350269
MOEX.FIXP:TQBR,D,20211209,000000,603.0000000,605.0000000,570.1000000,604.4000000,268308
MOEX.FIXP:TQBR,D,20211210,000000,604.9000000,605.5000000,588.0000000,592.0000000,268171
MOEX.FIXP:TQBR,D,20211213,000000,599.9000000,604.9000000,568.6000000,591.2000000,354118
MOEX.FIXP:TQBR,D,20211214,000000,586.9000000,600.0000000,568.5000000,579.0000000,308940
MOEX.FIXP:TQBR,D,20211215,000000,583.9000000,599.6000000,557.1000000,566.9000000,237833
MOEX.FIXP:TQBR,D,20211216,000000,566.9000000,575.0000000,559.2000000,563.9000000,495083
MOEX.FIXP:TQBR,D,20211217,000000,569.3000000,569.3000000,551.3000000,559.5000000,201966
MOEX.FIXP:TQBR,D,20211220,000000,556.2000000,560.3000000,547.0000000,558.0000000,187632
MOEX.FIXP:TQBR,D,20211221,000000,559.7000000,565.8000000,554.2000000,560.0000000,205036
MOEX.FIXP:TQBR,D,20211222,000000,560.0000000,562.5000000,550.5000000,550.5000000,210168
MOEX.FIXP:TQBR,D,20211223,000000,551.1000000,557.4000000,538.7000000,541.0000000,249541
MOEX.FIXP:TQBR,D,20211224,000000,546.7000000,552.2000000,539.0000000,544.6000000,209868
MOEX.FIXP:TQBR,D,20211227,000000,547.8000000,554.0000000,540.0000000,541.6000000,175036
MOEX.FIXP:TQBR,D,20211228,000000,546.8000000,546.8000000,539.3000000,539.5000000,233668
MOEX.FIXP:TQBR,D,20211229,000000,539.5000000,557.0000000,451.0000000,550.0000000,983483
MOEX.FIXP:TQBR,D,20211230,000000,550.0000000,556.1000000,540.0000000,547.5000000,304702
MOEX.FIXP:TQBR,D,20220103,000000,550.0000000,559.5000000,541.0000000,558.5000000,108301
MOEX.FIXP:TQBR,D,20220104,000000,558.6000000,583.9000000,546.5000000,577.8000000,247923
MOEX.FIXP:TQBR,D,20220105,000000,572.0000000,585.0000000,542.6000000,553.0000000,212296
MOEX.FIXP:TQBR,D,20220106,000000,559.1000000,579.8000000,542.0000000,560.0000000,197281
MOEX.FIXP:TQBR,D,20220110,000000,561.7000000,568.9000000,506.2000000,526.9000000,758608
MOEX.FIXP:TQBR,D,20220111,000000,527.0000000,527.0000000,499.0000000,507.6000000,731388
MOEX.FIXP:TQBR,D,20220112,000000,506.5000000,511.0000000,492.3000000,497.5000000,397621
MOEX.FIXP:TQBR,D,20220113,000000,498.8000000,499.0000000,460.1000000,468.0000000,539690
MOEX.FIXP:TQBR,D,20220114,000000,470.8000000,477.0000000,426.7000000,454.0000000,1001645
MOEX.FIXP:TQBR,D,20220117,000000,455.3000000,485.9000000,415.5000000,435.7000000,1620622
MOEX.FIXP:TQBR,D,20220118,000000,437.3000000,441.0000000,403.0000000,422.0000000,957850
MOEX.FIXP:TQBR,D,20220119,000000,424.1000000,432.0000000,401.2000000,409.1000000,921057
MOEX.FIXP:TQBR,D,20220120,000000,409.5000000,418.0000000,392.4000000,396.2000000,746240
MOEX.FIXP:TQBR,D,20220121,000000,395.0000000,403.0000000,381.4000000,392.8000000,534757
MOEX.FIXP:TQBR,D,20220124,000000,394.5000000,425.0000000,383.9000000,403.0000000,1735069
MOEX.FIXP:TQBR,D,20220125,000000,404.9000000,430.0000000,400.1000000,429.6000000,783251
MOEX.FIXP:TQBR,D,20220126,000000,445.2000000,445.2000000,419.0000000,422.5000000,769337
MOEX.FIXP:TQBR,D,20220127,000000,424.8000000,449.4000000,408.0000000,434.8000000,539382
MOEX.FIXP:TQBR,D,20220128,000000,434.0000000,445.9000000,420.4000000,425.0000000,323581
MOEX.FIXP:TQBR,D,20220131,000000,425.0000000,444.0000000,422.1000000,443.5000000,261307
MOEX.FIXP:TQBR,D,20220201,000000,444.7000000,454.8000000,434.6000000,448.0000000,314169
MOEX.FIXP:TQBR,D,20220202,000000,448.9000000,453.8000000,441.2000000,444.1000000,406224
MOEX.FIXP:TQBR,D,20220203,000000,444.0000000,444.5000000,424.6000000,435.5000000,223899
MOEX.FIXP:TQBR,D,20220204,000000,438.2000000,448.3000000,435.0000000,444.9000000,226904
MOEX.FIXP:TQBR,D,20220207,000000,446.3000000,449.5000000,434.1000000,441.5000000,88922
MOEX.FIXP:TQBR,D,20220208,000000,445.0000000,451.8000000,439.5000000,447.9000000,136393
MOEX.FIXP:TQBR,D,20220209,000000,446.0000000,465.0000000,438.9000000,457.4000000,499256
MOEX.FIXP:TQBR,D,20220210,000000,458.0000000,485.6000000,451.6000000,473.9000000,717378
MOEX.FIXP:TQBR,D,20220211,000000,473.9000000,481.9000000,429.4000000,450.0000000,296299
MOEX.FIXP:TQBR,D,20220214,000000,450.0000000,475.8000000,432.1000000,469.0000000,375151
MOEX.FIXP:TQBR,D,20220215,000000,465.4000000,479.0000000,457.3000000,472.0000000,384123
MOEX.FIXP:TQBR,D,20220216,000000,472.0000000,484.0000000,456.0000000,465.9000000,449937
MOEX.FIXP:TQBR,D,20220217,000000,465.9000000,471.7000000,455.6000000,461.5000000,180043
MOEX.FIXP:TQBR,D,20220218,000000,464.0000000,470.9000000,438.9000000,442.0000000,243708
MOEX.FIXP:TQBR,D,20220221,000000,442.0000000,469.9000000,370.0000000,404.0000000,780015
MOEX.FIXP:TQBR,D,20220222,000000,403.0000000,451.2000000,375.3000000,426.5000000,770303
MOEX.FIXP:TQBR,D,20220224,000000,409.6000000,410.0000000,260.7000000,314.1000000,419846
MOEX.FIXP:TQBR,D,20220225,000000,328.2000000,362.0000000,278.8000000,288.8000000,817872
MOEX.FIXP:TQBR,D,20220329,000000,328.8000000,390.1000000,295.2000000,327.0000000,580975
MOEX.FIXP:TQBR,D,20220330,000000,355.0000000,380.0000000,333.3000000,358.0000000,382251
MOEX.FIXP:TQBR,D,20220331,000000,370.0000000,421.0000000,360.2000000,400.0000000,546731
MOEX.FIXP:TQBR,D,20220401,000000,498.0000000,549.1000000,440.0000000,480.0000000,961681
MOEX.FIXP:TQBR,D,20220404,000000,520.0000000,520.0000000,425.3000000,464.0000000,318329
MOEX.FIXP:TQBR,D,20220405,000000,467.0000000,467.0000000,411.4000000,433.4000000,220647
MOEX.FIXP:TQBR,D,20220406,000000,430.3000000,430.3000000,402.5000000,416.6000000,100648
MOEX.FIXP:TQBR,D,20220407,000000,416.6000000,429.8000000,415.0000000,416.7000000,83123
MOEX.FIXP:TQBR,D,20220408,000000,420.0000000,445.0000000,405.0000000,427.0000000,164603
MOEX.FIXP:TQBR,D,20220411,000000,430.0000000,438.0000000,414.3000000,417.0000000,51258
MOEX.FIXP:TQBR,D,20220412,000000,418.2000000,428.0000000,391.8000000,413.0000000,128733
MOEX.FIXP:TQBR,D,20220413,000000,413.5000000,426.0000000,408.0000000,410.3000000,50163
MOEX.FIXP:TQBR,D,20220414,000000,405.0000000,414.9000000,383.1000000,390.1000000,99740
MOEX.FIXP:TQBR,D,20220415,000000,396.4000000,399.5000000,380.0000000,387.6000000,49224
MOEX.FIXP:TQBR,D,20220418,000000,384.9000000,392.0000000,361.0000000,362.6000000,82851
MOEX.FIXP:TQBR,D,20220419,000000,363.9000000,405.0000000,350.0000000,370.0000000,177262
MOEX.FIXP:TQBR,D,20220420,000000,372.9000000,415.0000000,366.0000000,394.4000000,159422
MOEX.FIXP:TQBR,D,20220421,000000,395.2000000,425.0000000,380.5000000,401.0000000,143467
MOEX.FIXP:TQBR,D,20220422,000000,409.9000000,418.0000000,381.0000000,383.2000000,89569
MOEX.FIXP:TQBR,D,20220425,000000,386.0000000,401.9000000,380.0000000,380.3000000,84162
MOEX.FIXP:TQBR,D,20220426,000000,380.2000000,393.8000000,380.2000000,385.7000000,149452
