<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEX.GLTR:TQBR,D,20210603,000000,480.0000000,484.6000000,475.0000000,480.0000000,428190
MOEX.GLTR:TQBR,D,20210604,000000,479.0000000,495.0000000,477.0500000,493.5000000,620040
MOEX.GLTR:TQBR,D,20210607,000000,493.5000000,506.7500000,483.6500000,500.0500000,592880
MOEX.GLTR:TQBR,D,20210608,000000,503.0000000,505.7000000,500.0000000,503.2000000,576880
MOEX.GLTR:TQBR,D,20210609,000000,505.0000000,507.0000000,497.8000000,502.7500000,376720
MOEX.GLTR:TQBR,D,20210610,000000,505.2000000,510.9500000,500.2500000,508.0000000,342210
MOEX.GLTR:TQBR,D,20210611,000000,509.0000000,517.8000000,506.7000000,515.5000000,270590
MOEX.GLTR:TQBR,D,20210614,000000,516.4500000,518.7000000,506.5000000,509.9500000,146770
MOEX.GLTR:TQBR,D,20210615,000000,509.9500000,509.9500000,502.0000000,502.1500000,171940
MOEX.GLTR:TQBR,D,20210616,000000,505.0000000,509.0000000,499.6500000,501.2500000,118990
MOEX.GLTR:TQBR,D,20210617,000000,501.1000000,521.0000000,501.0500000,517.0000000,594170
MOEX.GLTR:TQBR,D,20210618,000000,517.0000000,535.5000000,517.0000000,524.3500000,647370
MOEX.GLTR:TQBR,D,20210621,000000,529.9500000,538.0500000,524.4000000,531.2500000,224390
MOEX.GLTR:TQBR,D,20210622,000000,540.9500000,541.0000000,531.2000000,535.0000000,219570
MOEX.GLTR:TQBR,D,20210623,000000,539.0500000,539.0500000,525.3000000,532.1500000,134230
MOEX.GLTR:TQBR,D,20210624,000000,531.8000000,533.5000000,514.0000000,526.1500000,247830
MOEX.GLTR:TQBR,D,20210625,000000,526.0000000,526.9500000,518.3000000,520.6000000,79840
MOEX.GLTR:TQBR,D,20210628,000000,512.1000000,526.5000000,510.1000000,518.5000000,114450
MOEX.GLTR:TQBR,D,20210629,000000,519.0000000,520.5000000,505.5000000,507.7500000,141140
MOEX.GLTR:TQBR,D,20210630,000000,510.5000000,524.9000000,507.3500000,523.9500000,108200
MOEX.GLTR:TQBR,D,20210701,000000,525.8500000,534.0000000,525.0000000,527.0500000,120440
MOEX.GLTR:TQBR,D,20210702,000000,527.9500000,533.0500000,515.0000000,518.8000000,139950
MOEX.GLTR:TQBR,D,20210705,000000,522.2000000,522.2000000,510.0000000,515.0000000,45740
MOEX.GLTR:TQBR,D,20210706,000000,513.0500000,522.0000000,510.3000000,516.9500000,93020
MOEX.GLTR:TQBR,D,20210707,000000,521.0000000,530.0000000,518.7000000,527.1500000,87880
MOEX.GLTR:TQBR,D,20210708,000000,530.0000000,534.9500000,518.0000000,524.7000000,164260
MOEX.GLTR:TQBR,D,20210709,000000,527.9500000,530.1000000,520.4000000,525.4500000,99560
