<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TCSG,D,20210511,000000,4816.2000000,4878.0000000,4685.8000000,4845.6000000,294870
TCSG,D,20210512,000000,4846.2000000,4871.8000000,4635.2000000,4657.4000000,365534
TCSG,D,20210513,000000,4686.8000000,4767.4000000,4584.6000000,4727.6000000,201286
TCSG,D,20210514,000000,4727.4000000,4756.8000000,4580.0000000,4610.0000000,131237
TCSG,D,20210517,000000,4601.0000000,4626.4000000,4500.6000000,4593.2000000,171300
TCSG,D,20210518,000000,4590.2000000,4675.8000000,4565.4000000,4636.8000000,175681
TCSG,D,20210519,000000,4668.0000000,4692.6000000,4515.6000000,4575.8000000,216098
TCSG,D,20210520,000000,4543.6000000,4683.0000000,4481.0000000,4645.0000000,236890
TCSG,D,20210521,000000,4664.6000000,4769.8000000,4654.4000000,4730.2000000,189649
TCSG,D,20210524,000000,4737.8000000,4779.8000000,4730.0000000,4756.0000000,114142
TCSG,D,20210525,000000,4768.6000000,4820.0000000,4754.2000000,4809.2000000,141901
TCSG,D,20210526,000000,4807.6000000,5137.0000000,4795.0000000,5097.8000000,359767
TCSG,D,20210527,000000,5100.6000000,5669.8000000,5084.4000000,5512.0000000,1161629
TCSG,D,20210528,000000,5540.0000000,5574.0000000,5422.2000000,5491.0000000,523468
TCSG,D,20210531,000000,5508.2000000,5672.2000000,5439.2000000,5512.6000000,161711
TCSG,D,20210601,000000,5521.4000000,5605.4000000,5432.4000000,5472.2000000,335800
TCSG,D,20210602,000000,5436.0000000,5505.0000000,5123.0000000,5315.0000000,708274
TCSG,D,20210603,000000,5350.0000000,5374.8000000,5110.0000000,5183.0000000,381379
TCSG,D,20210604,000000,5200.0000000,5328.0000000,4986.2000000,5308.4000000,584158
TCSG,D,20210607,000000,5319.8000000,5365.0000000,5162.4000000,5230.0000000,233010
TCSG,D,20210608,000000,5223.0000000,5273.6000000,5115.0000000,5160.0000000,152519
TCSG,D,20210609,000000,5187.2000000,5300.0000000,5164.4000000,5300.0000000,194873
TCSG,D,20210610,000000,5286.0000000,5375.0000000,5234.6000000,5329.0000000,200898
TCSG,D,20210611,000000,5349.0000000,5806.2000000,5313.4000000,5723.0000000,515484
TCSG,D,20210614,000000,5722.0000000,5846.4000000,5625.0000000,5732.2000000,301798
TCSG,D,20210615,000000,5736.2000000,5769.2000000,5501.2000000,5532.2000000,289007
TCSG,D,20210616,000000,5532.0000000,5566.2000000,5402.0000000,5458.2000000,243277
TCSG,D,20210617,000000,5466.6000000,5480.0000000,5354.0000000,5440.0000000,294017
TCSG,D,20210618,000000,5474.4000000,5766.0000000,5446.0000000,5716.8000000,618243
TCSG,D,20210621,000000,5740.0000000,5773.4000000,5672.2000000,5728.6000000,192471
TCSG,D,20210622,000000,5730.0000000,5857.0000000,5641.6000000,5808.0000000,208284
TCSG,D,20210623,000000,5830.2000000,5971.6000000,5703.0000000,5889.0000000,263760
TCSG,D,20210624,000000,5910.8000000,6250.0000000,5877.0000000,6135.4000000,440122
TCSG,D,20210625,000000,6128.6000000,6163.8000000,6013.6000000,6124.4000000,243988
TCSG,D,20210628,000000,6120.2000000,6317.8000000,6075.4000000,6174.8000000,359955
TCSG,D,20210629,000000,6175.0000000,6265.0000000,6161.0000000,6210.0000000,185888
